date,Oblast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,XSUM,parent district
2020-05-01,P01,5651,100,2544,986,0,479,149,1721,11630,
2020-05-01,P02,9850,84,1382,188,0,191,62,2591,14348,
2020-05-01,P03,14004,110,865,184,0,131,0,3593,18888,
2020-05-01,P04,16522,226,1323,275,0,276,0,4846,23468,
2020-05-01,P05,9321,175,1008,95,0,182,0,2503,13284,
2020-05-01,P05.0,5355,22,177,18,0,182,0,1949,7703,P05
2020-05-01,P05.1,1453,69,502,35,0,0,0,168,2227,P05
2020-05-01,P05.2,1056,45,98,15,0,0,0,130,1344,P05
2020-05-01,P05.3,75,0,21,0,0,0,0,10,106,P05
2020-05-01,P05.4,962,28,187,27,0,0,0,137,1341,P05
2020-05-01,P05.5,372,11,20,0,0,0,0,99,502,P05
2020-05-01,P05.6,48,0,3,0,0,0,0,10,61,P05
2020-05-01,P06,19762,195,1358,116,0,235,1,6357,28025,
2020-05-01,P07,9001,79,619,102,0,89,0,2148,12038,
2020-05-01,P08,11203,111,792,167,0,166,7,4128,16574,
2020-05-01,P08.0,4610,6,108,21,0,166,6,2287,7204,P08
2020-05-01,P08.1,1140,20,330,38,0,0,0,136,1664,P08
2020-05-01,P08.2,1196,25,131,80,0,0,1,178,1611,P08
2020-05-01,P08.3,4257,60,223,28,0,0,0,1527,6095,P08
2020-05-01,P09,2877,46,265,43,0,16,40,554,3841,
2020-05-01,P09.0,2877,46,265,43,0,16,40,554,3841,P09
2020-06-01,P01,5664,103,2562,1007,0,516,149,1722,11723,
2020-06-01,P02,9891,86,1380,189,0,203,62,2614,14425,
2020-06-01,P03,14060,110,876,177,0,139,0,3610,18973,
2020-06-01,P04,16745,215,1330,273,0,285,0,4895,23743,
2020-06-01,P05,9411,175,1025,102,0,188,0,2518,13420,
2020-06-01,P05.0,5438,22,182,18,0,188,0,1957,7806,P05
2020-06-01,P05.1,1458,69,504,39,0,0,0,169,2239,P05
2020-06-01,P05.2,1053,44,109,18,0,0,0,133,1357,P05
2020-06-01,P05.3,75,0,22,0,0,0,0,10,107,P05
2020-06-01,P05.4,965,29,182,27,0,0,0,140,1343,P05
2020-06-01,P05.5,374,11,22,0,0,0,0,100,507,P05
2020-06-01,P05.6,48,0,4,0,0,0,0,9,61,P05
2020-06-01,P06,19919,196,1348,116,0,253,1,6427,28262,
2020-06-01,P07,9035,82,632,98,0,91,0,2136,12074,
2020-06-01,P08,11256,110,795,164,0,174,6,4135,16640,
2020-06-01,P08.0,4665,5,112,21,0,174,5,2299,7281,P08
2020-06-01,P08.1,1128,20,330,39,0,0,0,136,1653,P08
2020-06-01,P08.2,1199,25,128,76,0,0,1,178,1607,P08
2020-06-01,P08.3,4264,60,225,28,0,0,0,1522,6099,P08
2020-06-01,P09,2901,43,255,37,0,19,41,559,3855,
2020-06-01,P09.0,2901,43,255,37,0,19,41,559,3855,P09
2020-07-01,P01,5651,102,2570,1122,0,544,149,1733,11871,
2020-07-01,P02,9917,87,1379,194,0,208,61,2636,14482,
2020-07-01,P03,14106,117,887,177,0,146,0,3629,19063,
2020-07-01,P04,16940,216,1341,278,0,293,0,4950,24018,
2020-07-01,P05,9523,173,1020,98,0,193,0,2524,13532,
2020-07-01,P05.0,5526,21,181,19,0,193,0,1969,7910,P05
2020-07-01,P05.1,1469,66,509,38,0,0,0,167,2249,P05
2020-07-01,P05.2,1064,44,104,18,0,0,0,133,1363,P05
2020-07-01,P05.3,75,0,22,0,0,0,0,10,107,P05
2020-07-01,P05.4,967,31,181,23,0,0,0,138,1340,P05
2020-07-01,P05.5,375,11,21,0,0,0,0,98,505,P05
2020-07-01,P05.6,47,0,2,0,0,0,0,9,58,P05
2020-07-01,P06,19987,195,1342,114,0,258,1,6478,28377,
2020-07-01,P07,9080,83,640,98,0,92,0,2143,12136,
2020-07-01,P08,11324,110,805,164,0,185,6,4149,16743,
2020-07-01,P08.0,4675,6,113,21,0,185,5,2305,7310,P08
2020-07-01,P08.1,1146,19,337,40,0,0,0,136,1678,P08
2020-07-01,P08.2,1217,24,133,76,0,0,1,181,1632,P08
2020-07-01,P08.3,4286,61,222,27,0,0,0,1527,6123,P08
2020-07-01,P09,2948,44,264,37,0,20,41,568,3922,
2020-07-01,P09.0,2948,44,264,37,0,20,41,568,3922,P09
