date,Oblast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,XSUM,parent district,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt
2020-09-01,P05.3,75.0,0.0,21.0,0.0,0.0,0.0,0.0,10.0,106.0,P05,,,,,,,,,,,,,
2020-09-01,P05.4,968.0,35.0,184.0,24.0,0.0,0.0,0.0,141.0,1352.0,P05,,,,,,,,,,,,,
2020-09-01,P05.5,384.0,11.0,21.0,0.0,0.0,0.0,0.0,98.0,514.0,P05,,,,,,,,,,,,,
2020-09-01,P05.6,47.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,58.0,P05,,,,,,,,,,,,,
2020-09-01,P06,20298.0,189.0,1373.0,111.0,0.0,248.0,1.0,6571.0,28796.0,,25937.0,24899.0,17087.0,8845.0,5.0,0.0,16577.0,8317.0,5.0,0.0,267.0,191.0,10.0
2020-09-01,P07,9152.0,86.0,669.0,105.0,0.0,88.0,0.0,2158.0,12258.0,,9714.0,9287.0,6945.0,2198.0,569.0,2.0,6597.0,2140.0,550.0,0.0,100.0,69.0,25.0
2020-09-01,P08,11518.0,113.0,806.0,171.0,0.0,186.0,8.0,4174.0,16976.0,,15014.0,14443.0,9865.0,5040.0,109.0,0.0,9564.0,4785.0,94.0,0.0,178.0,83.0,15.0
2020-09-01,P08.0,4780.0,7.0,111.0,25.0,0.0,186.0,7.0,2327.0,7443.0,P08,,,,,,,,,,,,,
2020-09-01,P08.1,1162.0,20.0,347.0,48.0,0.0,0.0,0.0,137.0,1714.0,P08,,,,,,,,,,,,,
2020-09-01,P08.2,1231.0,23.0,132.0,72.0,0.0,0.0,1.0,180.0,1639.0,P08,,,,,,,,,,,,,
