date,kod_useku,POP_CELKEM,pop_rezidentska,pop_vlastnicka,pop_abonentska,pop_prenosna,pop_carsharing,pop_ekologicka,pop_ostatni,pop_socialni
2019-03-31,P10-0455,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0460,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0461,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0473,1,0,0,1,0,0,0,0,0
2019-03-31,P10-0477,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0500,2,0,0,0,0,0,2,0,0
2019-03-31,P10-0501,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0509,1,0,0,1,0,0,0,0,0
2019-03-31,P10-0510,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0519,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0527,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0530,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0531,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0534,4,0,0,0,0,0,2,2,0
2019-03-31,P10-0546,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0549,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0550,1,0,0,1,0,0,0,0,0
2019-03-31,P10-0556,1,0,0,1,0,0,0,0,0
2019-03-31,P10-0558,1,0,0,1,0,0,0,0,0
2019-03-31,P10-0560,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0574,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0576,2,0,0,1,0,0,1,0,0
2019-03-31,P10-0577,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0579,16,0,0,0,0,0,8,8,0
2019-03-31,P10-0585,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0598,2,0,0,1,0,0,0,1,0
2019-03-31,P10-0612,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0631,11,0,0,1,0,0,4,6,0
2019-03-31,P10-0632,2,0,0,0,0,0,1,1,0
2019-03-31,P10-0641,2,0,0,0,0,0,1,1,0
2019-03-31,P10-0672,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0673,11,0,0,0,0,0,3,8,0
2019-03-31,P10-0703,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0709,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0716,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0729,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0732,3,0,0,0,0,0,1,2,0
2019-03-31,P10-0733,3,0,0,0,0,0,1,2,0
2019-03-31,P10-0736,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0742,4,0,0,0,0,0,0,4,0
2019-03-31,P10-0747,7,0,0,0,0,0,1,6,0
2019-03-31,P10-0754,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0756,5,0,0,0,0,0,4,1,0
2019-03-31,P10-0758,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0766,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0769,2,0,0,0,0,0,1,1,0
2019-03-31,P10-0773,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0785,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0786,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0788,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0793,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0794,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0801,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0805,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0809,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0818,6,6,0,0,0,0,0,0,0
2019-03-31,P10-0820,15,13,0,0,0,0,1,0,1
2019-03-31,P10-0822,7,7,0,0,0,0,0,0,0
2019-03-31,P10-0825,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0837,3,0,0,0,0,0,0,3,0
2019-03-31,P10-0919,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0928,2,0,0,0,0,0,1,1,0
2019-03-31,P10-0951,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0961,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0970,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0980,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0988,2,0,0,0,0,0,1,1,0
2019-03-31,P10-1006,28,0,0,0,0,0,2,26,0
2019-03-31,P10-1007,2,0,0,0,0,0,1,0,1
2019-03-31,P10-1020,1,0,0,0,0,0,0,1,0
2019-03-31,P10-1023,14,0,0,1,0,0,4,9,0
2019-03-31,P10-1026,55,0,0,1,0,0,9,42,3
2019-03-31,P10-1027,4,0,0,0,0,0,0,4,0
2019-03-31,P10-1028,1,0,0,0,0,0,0,1,0
2019-03-31,P10-1030,24,0,0,2,0,0,2,20,0
2019-03-31,P10-1032,16,0,0,0,0,0,15,1,0
2019-03-31,P10-1033,4,0,0,0,0,0,1,2,1
2019-03-31,P10-1038,98,31,0,2,0,0,14,38,13
2019-03-31,P10-1041,1,0,0,0,0,0,0,1,0
2019-03-31,P10-1042,19,13,2,0,0,0,0,2,2
2019-03-31,P10-1044,48,24,1,3,1,0,1,6,12
2019-03-31,P10-1046,1,0,0,0,0,0,1,0,0
2019-03-31,P10-1047,2,0,0,0,0,0,0,2,0
2019-03-31,P10-1049,1,0,0,0,0,0,0,1,0
2019-03-31,P10-1062,1,0,0,0,0,0,1,0,0
2019-03-31,P10-1067,1,0,0,0,0,0,1,0,0
2019-03-31,P10-1082,3,0,0,0,0,0,1,2,0
2019-03-31,P10-1093,1,0,0,0,0,0,0,0,1
2019-03-31,P10-1097,1,0,0,0,0,0,1,0,0
2019-03-31,P10-1111,2,0,0,0,0,0,0,2,0
2019-03-31,P10-1121,11,7,0,1,0,0,0,2,1
2019-03-31,P10-1122,7,5,0,0,0,0,0,1,1
2019-03-31,P10-1125,44,9,0,0,0,0,15,15,5
2019-03-31,P10-1140,1,0,0,0,0,0,0,1,0
2019-03-31,P10-1150,1,1,0,0,0,0,0,0,0
2019-03-31,P10-1154,2,0,0,0,0,0,0,2,0
2019-03-31,P10-1157,1,0,0,0,0,0,0,1,0
2019-03-31,P10-1164,5,3,0,0,0,0,1,1,0
2019-03-31,P10-1176,1,0,0,0,0,0,0,1,0
