kod_zsj,nazev_zsj,obyvatel,parkovacich_mist_celkem,parkovacich_mist_v_zps,respektovanost_pct,obsazenost_pct,rezidenti_do_500m_pct,rezidenti_do_125m_pct,rezidenti_od_126m_do_500m_pct,rezidenti_od_501m_do_2000m_pct,rezidenti_nad_2000m_pct,navstevnici_platici_pct,navstevnici_neplatici_pct,volna_mista_pct,rezidentska_pct,vlastnicka_pct,abonentska_pct,prenosna_pct,carsharing_pct,ekologicka_pct,ostatni_pct,socialni_pct,část dne,mestska_cast,filename,date,frekvence,navstevnici_pct,soucet_vsech_typu_pct,navstevnici_neplatici,rezidentska,navstevnici_platici,abonentska,rezidenti_do_125m,rezidenti_nad_2000m,volna_mista,ekologicka,navstevnici,soucet_vsech_typu,carsharing,rezidenti_od_501m_do_2000m,respektovanost,prenosna,vlastnicka,socialni,ostatni,obsazenost,rezidenti_do_500m,rezidenti_od_126m_do_500m
127281,Folimanka-východ,2071,349,341,0.89,0.84,0.78,0.61,0.05,0.04,0.0,0.02,0.09,0.16,0.53,0.0,0.03,0.0,0.0,0.01,0.0,0.14,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.11,0.98,31.41,184.97,6.98,10.469999999999999,212.89,0.0,55.84,3.49,38.39,342.02,0.0,13.96,310.61,0.0,0.0,48.86000000000001,0.0,293.15999999999997,272.22,17.45
127167,Náměstí Míru,3212,895,811,0.84,1.09,0.67,0.58,0.15,0.07,0.0,0.08,0.18,0.0,0.55,0.0,0.09,0.01,0.0,0.02,0.0,0.14,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.27,1.08,161.1,492.25000000000006,71.60000000000001,80.55,519.0999999999999,0.0,0.0,17.900000000000002,241.65,966.6,0.0,62.650000000000006,751.8,8.950000000000001,0.0,125.30000000000001,0.0,975.5500000000001,599.6500000000001,134.25
127175,Londýnská,6180,969,878,0.84,1.09,0.68,0.58,0.16,0.06,0.0,0.07,0.18,0.0,0.56,0.0,0.07,0.01,0.0,0.03,0.0,0.15,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.26,1.08,174.42,542.6400000000001,67.83000000000001,67.83000000000001,562.02,0.0,0.0,29.07,251.94,1046.52,0.0,58.14,813.9599999999999,9.69,0.0,145.35,0.0,1056.21,658.9200000000001,155.04
127183,Albertov,646,1173,1063,0.73,0.74,0.28,0.12,0.08,0.05,0.0,0.25,0.2,0.26,0.18,0.0,0.03,0.0,0.0,0.02,0.0,0.04,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.45,0.98,234.60000000000002,211.14,293.25,35.19,140.76,0.0,304.98,23.46,527.85,1149.54,0.0,58.650000000000006,856.29,0.0,0.0,46.92,0.0,868.02,328.44000000000005,93.84
127221,Na Smetance,2580,762,730,0.87,0.93,0.72,0.58,0.09,0.06,0.0,0.05,0.12,0.07,0.51,0.0,0.07,0.0,0.0,0.02,0.0,0.14,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.17,0.98,91.44,388.62,38.1,53.34,441.96,0.0,53.34,15.24,129.54000000000002,746.76,0.0,45.72,662.9399999999999,0.0,0.0,106.68,0.0,708.6600000000001,548.64,68.58
127191,Štěpánský obvod-západ,3304,581,483,0.74,1.14,0.58,0.55,0.11,0.08,0.0,0.08,0.29,0.0,0.49,0.0,0.06,0.01,0.0,0.01,0.0,0.17,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.38,1.12,168.48999999999998,284.69,46.480000000000004,34.86,319.55,0.0,0.0,5.8100000000000005,220.78,650.72,0.0,46.480000000000004,429.94,5.8100000000000005,0.0,98.77000000000001,0.0,662.3399999999999,336.97999999999996,63.910000000000004
127205,Nad muzeem,2501,368,345,0.85,0.97,0.67,0.53,0.13,0.08,0.0,0.06,0.15,0.03,0.5,0.0,0.08,0.01,0.0,0.02,0.0,0.14,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.22,1.0,55.199999999999996,184.0,22.08,29.44,195.04000000000002,0.0,11.04,7.36,80.96,368.0,0.0,29.44,312.8,3.68,0.0,51.52,0.0,356.96,246.56,47.84
127213,Hlavní nádraží,0,86,85,0.84,0.75,0.36,0.19,0.07,0.1,0.0,0.17,0.12,0.25,0.25,0.0,0.08,0.01,0.0,0.04,0.0,0.04,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.3,0.97,10.32,21.5,14.620000000000001,6.88,16.34,0.0,21.5,3.44,25.8,83.42,0.0,8.6,72.24,0.86,0.0,3.44,0.0,64.5,30.959999999999997,6.0200000000000005
305774,Štěpánský obvod-východ,1634,334,274,0.65,1.04,0.48,0.41,0.1,0.05,0.0,0.09,0.36,0.0,0.35,0.0,0.05,0.07,0.0,0.02,0.0,0.07,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.52,1.08,120.24,116.89999999999999,30.06,16.7,136.94,0.0,0.0,6.68,173.68,360.72,0.0,16.7,217.1,23.380000000000003,0.0,23.380000000000003,0.0,347.36,160.32,33.4
132268,Vršovice-západ,2479,56,55,0.83,0.91,0.68,0.56,0.06,0.08,0.02,0.0,0.16,0.09,0.66,0.0,0.01,0.0,0.0,0.0,0.0,0.04,noc,P2,P02-OR_202311N_NJ.json,2023-11-30,měsíční,0.16,0.96,8.96,36.96,0.0,0.56,31.360000000000003,1.12,5.04,0.0,8.96,53.76,0.0,4.48,46.48,0.0,0.0,2.24,0.0,50.96,38.080000000000005,3.36
127574,U Rajské zahrady,50,9,9,1.0,0.17,0.4,0.0,0.07,0.0,0.0,0.0,0.0,0.83,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,noc,P2,P02-OR_202311N_NJ.json,2023-11-30,měsíční,0.0,0.9,0.0,0.6300000000000001,0.0,0.0,0.0,0.0,7.47,0.0,0.0,8.1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.53,3.6,0.6300000000000001
