date,mestska_cast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,POP_CELKEM,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt
2019-12-01,P01,5568.0,95.0,2399.0,1056.0,0.0,368.0,152.0,1690.0,11328.0,8641.0,8020.0,6497.0,2113.0,0.0,31.0,6044.0,1958.0,0.0,18.0,188.0,90.0,0.0
2019-12-01,P02,9763.0,82.0,1323.0,191.0,0.0,159.0,60.0,2549.0,14127.0,12025.0,11353.0,7737.0,4288.0,0.0,0.0,7371.0,3982.0,0.0,0.0,118.0,125.0,0.0
2019-12-01,P03,13667.0,102.0,822.0,185.0,0.0,101.0,0.0,3555.0,18432.0,14919.0,14322.0,10450.0,4469.0,0.0,0.0,10022.0,4300.0,0.0,0.0,172.0,122.0,0.0
2019-12-01,P04,15300.0,195.0,1177.0,266.0,0.0,212.0,0.0,4501.0,21651.0,22657.0,21825.0,13385.0,9067.0,205.0,0.0,12911.0,8722.0,192.0,0.0,228.0,183.0,0.0
2019-12-01,P05,8838.0,158.0,966.0,87.0,0.0,133.0,0.0,2400.0,12582.0,12729.0,12148.0,7367.0,5136.0,226.0,0.0,7146.0,4793.0,209.0,0.0,198.0,117.0,0.0
2019-12-01,P06,19134.0,180.0,1279.0,107.0,0.0,187.0,1.0,6140.0,27028.0,25979.0,24920.0,17108.0,8866.0,5.0,0.0,16574.0,8341.0,5.0,0.0,266.0,200.0,0.0
2019-12-01,P07,8767.0,72.0,550.0,94.0,0.0,71.0,0.0,2160.0,11714.0,9693.0,9267.0,6913.0,2218.0,562.0,0.0,6566.0,2165.0,536.0,0.0,94.0,94.0,0.0
2019-12-01,P08,10744.0,100.0,732.0,160.0,0.0,134.0,6.0,4014.0,15890.0,15013.0,14444.0,9854.0,5050.0,109.0,0.0,9558.0,4792.0,94.0,0.0,175.0,99.0,0.0
2020-01-01,P01,5553.0,94.0,2439.0,1041.0,0.0,407.0,148.0,1684.0,11366.0,8644.0,8029.0,6505.0,2108.0,0.0,31.0,6058.0,1953.0,0.0,18.0,188.0,90.0,0.0
2020-01-01,P02,9651.0,79.0,1325.0,192.0,0.0,170.0,60.0,2513.0,13990.0,12025.0,11352.0,7737.0,4288.0,0.0,0.0,7370.0,3982.0,0.0,0.0,118.0,123.0,0.0
2020-01-01,P03,13707.0,99.0,840.0,184.0,0.0,114.0,0.0,3555.0,18499.0,14919.0,14322.0,10450.0,4469.0,0.0,0.0,10022.0,4300.0,0.0,0.0,172.0,123.0,0.0
2020-01-01,P04,15701.0,206.0,1233.0,270.0,0.0,236.0,0.0,4645.0,22291.0,22663.0,21829.0,13385.0,9073.0,205.0,0.0,12909.0,8728.0,192.0,0.0,228.0,184.0,0.0
2020-01-01,P05,8974.0,160.0,987.0,94.0,0.0,155.0,0.0,2444.0,12814.0,12727.0,12145.0,7367.0,5134.0,226.0,0.0,7144.0,4792.0,209.0,0.0,198.0,117.0,0.0
2020-01-01,P06,19319.0,191.0,1314.0,117.0,0.0,205.0,1.0,6213.0,27361.0,25938.0,24874.0,17069.0,8864.0,5.0,0.0,16537.0,8332.0,5.0,0.0,266.0,200.0,0.0
2020-01-01,P07,8768.0,74.0,577.0,99.0,0.0,80.0,0.0,2163.0,11761.0,9698.0,9270.0,6918.0,2218.0,562.0,0.0,6574.0,2162.0,534.0,0.0,95.0,94.0,0.0
2020-01-01,P08,10819.0,100.0,749.0,165.0,0.0,146.0,7.0,4029.0,16015.0,15010.0,14447.0,9854.0,5047.0,109.0,0.0,9557.0,4796.0,94.0,0.0,175.0,99.0,0.0
2020-01-01,P09,2476.0,44.0,236.0,41.0,0.0,8.0,37.0,500.0,3342.0,3815.0,3668.0,0.0,3815.0,0.0,0.0,0.0,3668.0,0.0,0.0,47.0,65.0,0.0
2020-02-01,P01,5559.0,94.0,2470.0,1048.0,0.0,442.0,149.0,1690.0,11452.0,8640.0,8028.0,6503.0,2106.0,0.0,31.0,6059.0,1951.0,0.0,18.0,187.0,90.0,0.0
2020-02-01,P02,9695.0,81.0,1342.0,188.0,0.0,182.0,61.0,2522.0,14071.0,12025.0,11353.0,7733.0,4292.0,0.0,0.0,7367.0,3986.0,0.0,0.0,118.0,123.0,0.0
2020-02-01,P03,13726.0,99.0,853.0,185.0,0.0,124.0,0.0,3573.0,18560.0,14918.0,14325.0,10449.0,4469.0,0.0,0.0,10022.0,4303.0,0.0,0.0,173.0,123.0,0.0
2020-02-01,P04,15979.0,211.0,1273.0,271.0,0.0,261.0,0.0,4727.0,22722.0,22679.0,21839.0,13401.0,9073.0,205.0,0.0,12923.0,8724.0,192.0,0.0,226.0,184.0,0.0
2020-02-01,P05,9057.0,163.0,999.0,96.0,0.0,167.0,0.0,2466.0,12948.0,12725.0,12146.0,7366.0,5133.0,226.0,0.0,7145.0,4792.0,209.0,0.0,198.0,117.0,0.0
2020-02-01,P06,19336.0,195.0,1325.0,117.0,0.0,221.0,1.0,6267.0,27463.0,25930.0,24873.0,17062.0,8863.0,5.0,0.0,16536.0,8332.0,5.0,0.0,266.0,200.0,0.0
2020-02-01,P07,8812.0,75.0,576.0,112.0,0.0,84.0,0.0,2170.0,11829.0,9739.0,9311.0,6937.0,2240.0,562.0,0.0,6593.0,2184.0,534.0,0.0,96.0,94.0,0.0
2020-02-01,P08,10936.0,103.0,759.0,166.0,0.0,155.0,8.0,4059.0,16186.0,15011.0,14445.0,9855.0,5047.0,109.0,0.0,9555.0,4796.0,94.0,0.0,175.0,98.0,0.0
2020-02-01,P09,2622.0,45.0,254.0,42.0,0.0,13.0,38.0,518.0,3532.0,3812.0,3661.0,0.0,3812.0,0.0,0.0,0.0,3661.0,0.0,0.0,47.0,65.0,0.0
2020-03-01,P01,5402.0,90.0,2404.0,964.0,0.0,464.0,149.0,1662.0,11135.0,8625.0,8027.0,6528.0,2097.0,0.0,0.0,6083.0,1944.0,0.0,0.0,187.0,90.0,0.0
2020-03-01,P02,9357.0,77.0,1300.0,180.0,0.0,188.0,61.0,2526.0,13689.0,12026.0,11400.0,7734.0,4292.0,0.0,0.0,7366.0,4034.0,0.0,0.0,118.0,112.0,0.0
2020-03-01,P03,13405.0,92.0,829.0,184.0,0.0,128.0,0.0,3541.0,18180.0,14915.0,14327.0,10446.0,4469.0,0.0,0.0,10022.0,4305.0,0.0,0.0,172.0,123.0,0.0
2020-03-01,P04,15990.0,207.0,1265.0,272.0,0.0,267.0,0.0,4756.0,22757.0,22644.0,21810.0,13366.0,9073.0,205.0,0.0,12893.0,8725.0,192.0,0.0,227.0,184.0,0.0
2020-03-01,P05,8971.0,159.0,984.0,91.0,0.0,178.0,0.0,2446.0,12829.0,12728.0,12148.0,7369.0,5257.0,102.0,0.0,7148.0,4912.0,88.0,0.0,198.0,117.0,0.0
2020-03-01,P06,19111.0,186.0,1287.0,111.0,0.0,232.0,1.0,6240.0,27169.0,25931.0,24873.0,17063.0,8863.0,5.0,0.0,16537.0,8331.0,5.0,0.0,267.0,200.0,0.0
2020-03-01,P07,8603.0,75.0,556.0,95.0,0.0,88.0,0.0,2140.0,11557.0,9752.0,9327.0,6937.0,2253.0,562.0,0.0,6594.0,2197.0,536.0,0.0,96.0,94.0,0.0
2020-03-01,P08,10844.0,101.0,744.0,163.0,0.0,164.0,7.0,4057.0,16080.0,15010.0,14447.0,9854.0,5047.0,109.0,0.0,9557.0,4796.0,94.0,0.0,175.0,98.0,0.0
2020-03-01,P09,2682.0,44.0,258.0,43.0,0.0,14.0,38.0,528.0,3607.0,3810.0,3661.0,0.0,3810.0,0.0,0.0,0.0,3661.0,0.0,0.0,47.0,65.0,0.0
2020-05-01,P01,5651.0,100.0,2544.0,986.0,0.0,479.0,149.0,1721.0,11630.0,8625.0,8027.0,6528.0,2097.0,0.0,0.0,6083.0,1944.0,0.0,0.0,187.0,89.0,0.0
2020-05-01,P02,9850.0,84.0,1382.0,188.0,0.0,191.0,62.0,2591.0,14348.0,12020.0,11392.0,8264.0,3756.0,0.0,0.0,7877.0,3515.0,0.0,0.0,118.0,113.0,0.0
2020-05-01,P03,14004.0,110.0,865.0,184.0,0.0,131.0,0.0,3593.0,18888.0,14970.0,14376.0,10499.0,4471.0,0.0,0.0,10071.0,4305.0,0.0,0.0,175.0,123.0,0.0
2020-05-01,P04,16522.0,226.0,1323.0,275.0,0.0,276.0,0.0,4846.0,23468.0,22615.0,21767.0,13331.0,9082.0,202.0,0.0,12849.0,8726.0,192.0,0.0,228.0,185.0,0.0
2020-05-01,P05,9321.0,175.0,1008.0,95.0,0.0,182.0,0.0,2503.0,13284.0,12750.0,12164.0,7391.0,5257.0,102.0,0.0,7165.0,4911.0,88.0,0.0,198.0,117.0,0.0
2020-05-01,P06,19762.0,195.0,1358.0,116.0,0.0,235.0,1.0,6357.0,28025.0,25924.0,24869.0,17054.0,8865.0,5.0,0.0,16534.0,8330.0,5.0,0.0,267.0,200.0,0.0
2020-05-01,P07,9001.0,79.0,619.0,102.0,0.0,89.0,0.0,2148.0,12038.0,9753.0,9335.0,6936.0,2253.0,564.0,0.0,6591.0,2197.0,547.0,0.0,97.0,94.0,0.0
2020-05-01,P08,11203.0,111.0,792.0,167.0,0.0,166.0,7.0,4128.0,16574.0,15008.0,14446.0,9854.0,5045.0,109.0,0.0,9556.0,4796.0,94.0,0.0,175.0,97.0,0.0
2020-05-01,P09,2877.0,46.0,265.0,43.0,0.0,16.0,40.0,554.0,3841.0,3810.0,3662.0,0.0,3810.0,0.0,0.0,0.0,3662.0,0.0,0.0,47.0,65.0,0.0
2020-06-01,P01,5664.0,103.0,2562.0,1007.0,0.0,516.0,149.0,1722.0,11723.0,8622.0,8024.0,6525.0,2097.0,0.0,0.0,6080.0,1944.0,0.0,0.0,187.0,89.0,0.0
2020-06-01,P02,9891.0,86.0,1380.0,189.0,0.0,203.0,62.0,2614.0,14425.0,12020.0,11393.0,8264.0,3756.0,0.0,0.0,7876.0,3517.0,0.0,0.0,118.0,113.0,0.0
2020-06-01,P03,14060.0,110.0,876.0,177.0,0.0,139.0,0.0,3610.0,18973.0,14958.0,14366.0,10498.0,4460.0,0.0,0.0,10071.0,4295.0,0.0,0.0,176.0,123.0,0.0
2020-06-01,P04,16745.0,215.0,1330.0,273.0,0.0,285.0,0.0,4895.0,23743.0,22633.0,21791.0,13334.0,9097.0,202.0,0.0,12856.0,8743.0,192.0,0.0,228.0,185.0,0.0
2020-06-01,P05,9411.0,175.0,1025.0,102.0,0.0,188.0,0.0,2518.0,13420.0,12750.0,12163.0,7391.0,5257.0,102.0,0.0,7165.0,4910.0,88.0,0.0,198.0,117.0,0.0
2020-06-01,P06,19919.0,196.0,1348.0,116.0,0.0,253.0,1.0,6427.0,28262.0,25923.0,24874.0,17030.0,8888.0,5.0,0.0,16521.0,8348.0,5.0,0.0,267.0,201.0,0.0
2020-06-01,P07,9035.0,82.0,632.0,98.0,0.0,91.0,0.0,2136.0,12074.0,9763.0,9347.0,6939.0,2253.0,569.0,2.0,6601.0,2196.0,550.0,0.0,97.0,94.0,0.0
