house_code,usek_code
21702306,P1-0384
21702331,P1-0406
21702349,P1-0406
21702365,P1-0406
21702373,P1-0406
21702390,P1-0406
21702403,P1-0405
21702411,P1-0401
21702438,P1-0401
21702446,P1-0401
21702454,P1-0401
21702519,P1-0614
21702527,P1-0405
21702543,P2-0104
21702551,P2-0104
21702560,P1-0403
21702578,P1-0403
21702586,P1-0403
21702594,P1-0403
21702624,P1-0401
21702632,P1-0402
21702641,P1-0403
21702675,P1-0403
21702683,P1-0403
21702705,P1-0403
21702713,P2-0101
21702721,P1-0399
21702730,P1-0399
21702748,P1-0399
21702756,P1-0399
21702781,P1-0386
21702829,P1-0384
21702845,P1-0393
21702853,P1-0386
21702861,P1-0386
21702870,P1-0399
21702900,P1-0613
21702926,P1-0399
21702934,P1-0399
21702951,P1-0399
21702977,P1-0397
21702993,P1-0393
21703001,P1-0393
21703019,P1-0393
21703060,P1-0393
21703078,P1-0393
21703086,P1-0386
21703108,P1-0386
21703116,P1-0386
21703124,P1-0387
21703213,P1-0391
21703221,P1-0391
21703248,P1-0391
21703264,P1-0393
21703272,P1-0393
21703299,P1-0394
21703302,P1-0394
21703329,P1-0391
21703337,P1-0393
21703345,P1-0394
21703353,P1-0394
21703388,P1-0393
21703396,P1-0393
21703400,P1-0393
21703418,P1-0393
21703434,P1-0393
21703442,P1-0599
21703469,P1-0393
21703477,P1-0393
21703485,P1-0393
21703493,P1-0599
21703515,P1-0453
21703523,P1-0453
21703531,P1-0453
21703566,P1-0450
21703574,P1-0450
21703582,P1-0450
21703604,P1-0449
21703621,P1-0449
21703639,P1-0449
21703647,P1-0449
21703655,P1-0449
21703663,P1-0449
21703680,P1-0449
21703698,P1-0450
21703728,P1-0449
21703744,P1-0449
21703752,P1-0449
21703761,P1-0449
21703779,P1-0449
21703787,P1-0449
21703795,P1-0449
21703809,P1-0449
21703817,P1-0449
21703841,P1-0449
21703850,P1-0449
21703884,P1-0440
21703892,P1-0440
21703906,P1-0440
21703914,P1-0440
21703931,P1-0440
21703949,P1-0440
21703957,P1-0440
21703981,P1-0440
21703990,P1-0442
21704007,P1-0442
21704058,P1-0442
21704066,P1-0442
21704082,P1-0442
21704091,P1-0442
21704104,P1-0442
21704121,P1-0443
21704155,P1-0440
21704163,P1-0440
21704171,P1-0440
21704180,P1-0440
21704198,P1-0440
21704228,P1-0440
21704236,P1-0440
21704244,P1-0440
21704261,P1-0440
21704279,P1-0440
21704287,P1-0440
21704295,P1-0440
21704317,P2-0201
21704333,P1-0427
21704341,P2-0201
21704368,P1-0430
21704376,P1-0430
21704406,P1-0427
21704414,P1-0427
21704431,P1-0427
21704449,P1-0430
21704465,P1-0428
21704473,P1-0428
21704481,P1-0428
21704503,P1-0430
21704511,P1-0430
21704554,P1-0432
21704562,P1-0432
21704571,P1-0432
21704597,P1-0431
21704627,P1-0428
21704635,P1-0428
21704643,P1-0428
21704651,P1-0428
21704678,P1-0414
21704694,P1-0426
21704716,P1-0426
21704724,P1-0426
21704741,P1-0609
21704775,P1-0427
21704791,P1-0427
21704805,P1-0427
21704813,P1-0427
21704821,P1-0427
21704830,P1-0427
21704848,P1-0427
21704856,P1-0427
21704881,P1-0609
21704899,P1-0443
21704911,P1-0443
21704929,P1-0446
21704937,P1-0446
21704945,P1-0446
21704953,P1-0446
21704961,P1-0442
21704970,P1-0446
21704988,P1-0446
21704996,P1-0446
21705003,P1-0446
21705011,P1-0446
21705046,P1-0446
21705054,P1-0446
21705089,P1-0445
21705097,P1-0445
21705101,P1-0604
21705119,P1-0604
21705143,P1-0604
21705151,P1-0604
21705178,P1-0445
21705186,P1-0445
21705194,P1-0446
21705216,P1-0609
21705224,P1-0426
21705241,P1-0426
21705259,P1-0425
21705267,P1-0425
21705275,P1-0425
21705283,P1-0425
21705291,P1-0425
21705305,P1-0425
21705313,P1-0609
21705321,P1-0609
21705330,P1-0425
21705348,P1-0425
21705372,P1-0604
21705381,P1-0422
21705399,P1-0422
21705402,P1-0422
21705411,P1-0419
21705429,P1-0419
21705437,P1-0419
21705445,P1-0612
21705470,P1-0612
21705534,P1-0612
21705551,P1-0612
21705593,P1-0612
21705615,P1-0612
21705631,P1-0612
21705640,P1-0612
21705674,P1-0612
21705739,P1-0535
21705755,P1-0535
21705771,P1-0535
21705780,P1-0612
21705798,P1-0446
21705801,P1-0446
21705828,P1-0446
21705879,P1-0446
21705887,P1-0446
21705895,P1-0446
21705909,P1-0446
21705917,P1-0446
21705933,P1-0446
21705941,P1-0442
21705950,P1-0442
21705968,P1-0442
21705976,P1-0442
21706026,P1-0449
21706034,P1-0449
21706042,P1-0449
21706051,P1-0449
21706085,P1-0450
21706115,P1-0452
21706131,P1-0452
21706140,P1-0452
21706166,P1-0452
21706191,P1-0447
21706204,P1-0447
21706221,P1-0447
21706239,P1-0447
21706247,P1-0449
21706263,P1-0442
21706271,P1-0442
21706298,P1-0442
21706336,P1-0442
21706352,P1-0442
21706387,P1-0442
21706395,P1-0446
21706425,P1-0491
21706433,P1-0491
21706450,P1-0491
21706468,P1-0535
21706484,P1-0535
21706506,P1-0535
21706522,P1-0491
21706522,P1-0502
21706549,P1-0491
21706557,P1-0491
21706565,P1-0491
21706590,P1-0502
21706662,P1-0501
21706751,P1-0496
21706760,P1-0496
21706778,P1-0496
21706794,P1-0496
21706808,P1-0488
21706816,P1-0488
21706824,P1-0488
21706841,P1-0500
21706859,P1-0500
21706867,P1-0500
21706875,P1-0500
21706883,P1-0500
21706891,P1-0500
21706905,P1-0500
21706956,P1-0500
21706964,P1-0500
21706972,P1-0500
21706981,P1-0493
21707006,P1-0491
21707014,P1-0491
21707022,P1-0491
21707031,P1-0491
21707057,P1-0493
21707065,P1-0493
21707073,P1-0493
21707103,P1-0493
21707111,P1-0493
21707120,P1-0493
21707154,P1-0486
21707171,P1-0486
21707189,P1-0486
21707235,P1-0486
21707243,P1-0486
21707251,P1-0447
21707278,P1-0447
21707286,P1-0447
21707294,P1-0486
21707316,P1-0461
21707324,P1-0486
21707332,P1-0461
21707341,P1-0461
21707359,P1-0461
21707375,P1-0461
21707383,P1-0461
21707405,P1-0486
21707421,P1-0486
21707448,P1-0486
21707464,P1-0486
21707499,P1-0486
21707502,P1-0500
21707537,P1-0488
21707561,P1-0483
21707570,P1-0483
21707588,P1-0485
21707596,P1-0483
21707600,P1-0483
21707618,P1-0483
21707634,P1-0481
21707642,P1-0481
21707651,P1-0481
21707669,P1-0481
21707685,P1-0464
21707715,P1-0464
21707740,P1-0478
21707758,P1-0478
21707804,P1-0481
21707812,P1-0481
21707821,P1-0482
21707847,P1-0482
21707863,P1-0488
21707871,P1-0479
21707944,P1-0476
21707952,P1-0476
21707961,P1-0476
21707979,P1-0476
21707987,P1-0476
21707995,P1-0470
21707995,P1-0468
21708002,P1-0476
21708011,P1-0470
21708011,P1-0468
21708029,P1-0468
21708037,P1-0468
21708061,P1-0476
21708070,P1-0476
21708096,P1-0496
21708100,P1-0496
21708126,P1-0600
21708134,P1-0498
21708177,P1-0498
21708193,P1-0498
21708207,P1-0498
21708215,P1-0498
21708258,P1-0472
21708266,P1-0472
21708274,P1-0472
21708282,P1-0472
21708291,P1-0472
21708304,P1-0472
21708312,P1-0472
21708339,P1-0468
21708355,P1-0498
21708380,P1-0468
21708452,P1-0591
21708479,P1-0591
21708509,P1-0498
21708533,P1-0498
21708550,P1-0498
21708568,P1-0592
21708576,P1-0592
21708584,P1-0592
21708614,P1-0586
21708622,P1-0592
21708631,P1-0586
21708649,P1-0586
21708657,P1-0586
21708665,P1-0586
21708673,P1-0591
21708703,P1-0602
21708711,P1-0602
21708720,P1-0602
21708771,P1-0575
21708797,P8-0101
21708819,P1-0545
21708835,P1-0575
21708843,P1-0575
21708851,P1-0577
21708860,P1-0577
21708878,P1-0573
21708894,P1-0573
21708908,P1-0573
21708924,P1-0602
21708932,P1-0602
21708941,P1-0602
21708959,P1-0602
21708967,P1-0602
21708975,P1-0602
21709017,P1-0585
21709041,P1-0586
21709084,P1-0584
21709092,P1-0584
21709114,P1-0545
21709149,P1-0545
21709157,P1-0545
21709173,P1-0582
21709181,P1-0582
21709203,P1-0582
21709211,P1-0582
21709238,P1-0582
21709262,P1-0582
21709271,P1-0582
21709289,P1-0582
21709297,P1-0582
21709301,P1-0611
21709335,P1-0584
21709343,P1-0584
21709351,P1-0584
21709378,P1-0584
21709394,P1-0584
21709408,P1-0584
21709416,P1-0584
21709424,P1-0584
21709432,P1-0584
21709441,P1-0584
21709459,P1-0584
21709467,P1-0584
21709483,P1-0584
21709491,P1-0584
21709505,P1-0584
21709521,P1-0584
21709530,P1-0584
21709548,P1-0584
